accession	Mut_L0_1	Mut_L0_2	Mut_L3_1	Mut_L3_2	URT1_L12_1_2019	URT1_L12_2_2019	URT1_L17_1_2019	URT1_L17_2_2019
AT1G01080.2	0	0	1	1	0	1	1	1
AT1G01090.1	1	2	2	2	1	2	1	2
AT1G01100.1	0	1	0	1	0	2	0	0
AT1G01300.1	11	11	10	9	8	10	9	14
AT1G01320.1	1	1	1	0	2	1	0	1
AT1G01510.1	1	1	1	0	1	0	1	2
AT1G01610.1	7	7	3	4	0	0	4	5
AT1G01620.1	9	6	7	5	10	11	17	7
AT1G01730.1	0	1	1	0	0	0	0	0
AT1G01750.1	0	0	3	0	0	2	1	2
AT1G01930.1	0	0	0	0	1	0	0	0
AT1G01960.1	1	0	0	0	0	0	0	0
AT1G02050.1	0	1	0	0	0	0	0	0
AT1G02080.1	9	13	16	14	15	10	14	14
AT1G02140.1	0	0	0	1	0	0	1	0
AT1G02190.1	1	2	2	2	1	1	1	2
AT1G02280.1	2	0	2	2	3	3	4	3
AT1G02780.1	7	10	8	8	6	5	7	9
AT1G02813.1	0	1	0	0	0	0	1	2
AT1G02840.1	2	5	1	3	0	0	3	3
AT1G03230.1	0	1	1	1	1	0	0	1
AT1G03475.1	0	0	0	0	0	0	1	0
AT1G03630.1	5	3	2	3	6	4	7	4
AT1G03860.1	1	0	1	0	0	0	0	0
AT1G03900.1	0	0	0	0	0	1	0	0
AT1G04080.3	0	1	1	0	0	0	1	0
AT1G04170.1	3	1	2	0	3	3	1	1
AT1G04270.1	8	9	6	5	8	7	9	6
AT1G04410.1	0	2	1	3	0	1	4	0
AT1G04480.1-AT2G33370.1-AT3G04400.1	7	12	5	7	8	9	9	8
AT1G04630.1	2	2	2	2	2	2	2	2
AT1G04690.1	4	4	4	4	5	5	4	4
AT1G04710.1	1	1	1	1	2	0	2	2
AT1G04750.1	3	3	2	2	2	0	4	1
AT1G04820.1-AT1G50010.1	58	54	54	63	49	56	76	67
AT1G04850.1	1	0	0	0	0	0	0	0
AT1G05190.1	2	1	5	4	2	0	6	3
AT1G05520.1	0	0	1	0	0	0	0	1
AT1G06190.1	0	0	1	0	0	0	0	0
AT1G06220.2	0	4	3	3	2	2	4	3
AT1G06290.1	0	0	0	0	0	1	0	0
AT1G06390.1	0	0	0	0	0	0	0	1
AT1G06410.1	0	0	2	1	0	2	4	1
AT1G06430.1	0	1	0	2	0	1	2	1
AT1G06530.1	1	0	1	0	0	0	0	0
AT1G06680.1	0	0	0	0	0	1	0	0
AT1G06700.1	2	1	1	0	1	0	0	1
AT1G06950.1	12	9	7	13	11	9	9	6
AT1G07070.1	0	3	3	4	3	3	4	3
AT1G07360.1	1	0	1	0	2	1	1	0
AT1G07660.1-AT1G07820.1-AT2G28740.1-AT3G45930....	12	15	15	19	19	15	9	14
AT1G07670.1	1	2	0	2	0	0	0	1
AT1G07720.1	0	0	0	1	0	0	0	0
AT1G07750.1	0	1	0	1	0	0	2	0
AT1G07770.1-AT5G59850.1	3	4	6	3	4	3	11	6
AT1G07890.3	8	7	8	11	4	8	8	8
AT1G07920.1-AT1G07930.1-AT1G07940.1-AT5G60390....	86	77	70	61	77	80	70	68
AT1G07990.1	1	0	0	0	1	1	1	0
AT1G08130.1	1	0	0	0	0	0	1	0
AT1G08360.1	13	13	8	9	14	11	8	12
AT1G08480.1	0	0	0	0	0	0	1	0
AT1G08520.1	0	0	0	0	1	0	0	0
AT1G08880.1	2	5	2	4	3	2	2	3
AT1G09020.1	0	1	1	1	1	1	1	0
AT1G09140.1	0	0	0	0	0	0	1	0
AT1G09200.1-AT3G27360.1-AT5G10390.1-AT5G10400....	0	2	1	2	2	2	2	1
AT1G09210.1	0	0	1	0	0	0	0	0
AT1G09270.1	1	1	1	0	0	0	2	2
AT1G09310.1	3	2	1	0	0	0	0	0
AT1G09340.1	1	2	2	2	1	2	1	3
AT1G09430.1	2	0	3	2	0	1	5	2
AT1G09590.1-AT1G09690.1	4	3	3	1	3	4	3	3
AT1G09620.1	4	3	4	4	2	3	5	3
AT1G09630.1	0	0	0	0	0	0	2	0
AT1G09640.1	12	16	12	11	7	8	18	14
AT1G10170.1	0	1	0	1	3	1	2	2
AT1G10200.1	0	1	1	2	1	0	0	1
AT1G10270.1	1	0	0	1	1	1	1	0
AT1G10290.1	23	22	17	25	16	18	25	26
AT1G10630.1	11	8	10	8	4	6	10	9
AT1G10670.3	5	3	5	4	2	3	9	6
AT1G10760.1	0	1	0	0	0	0	0	0
AT1G10840.1	3	6	1	1	3	3	3	4
AT1G10870.1	0	1	0	0	0	0	0	0
AT1G11630.1	0	0	0	0	0	0	1	0
AT1G11650.2	5	5	7	5	4	7	4	7
AT1G11750.2	0	0	0	0	0	0	0	1
AT1G11840.6	1	1	1	0	0	0	1	0
AT1G11860.1	2	0	2	4	2	4	1	3
AT1G12000.1	4	4	3	3	3	3	3	4
AT1G12270.1	1	0	0	1	0	1	1	1
AT1G12310.1	4	5	3	5	1	2	3	3
AT1G12840.1	2	1	1	0	0	1	0	0
AT1G12900.1	36	38	32	31	28	28	39	29
AT1G12920.1	2	3	3	3	2	1	4	3
AT1G13020.1	0	0	0	0	3	1	2	0
AT1G13190.1	1	1	1	0	3	3	1	3
AT1G13320.1	1	0	0	1	0	1	2	1
AT1G13440.1	65	64	62	54	59	63	62	54
AT1G13690.1	1	2	1	1	1	0	2	2
AT1G13930.1	3	3	4	2	1	2	4	2
AT1G13980.1	2	1	0	0	0	0	0	1
AT1G14320.1	9	9	7	9	11	11	14	10
AT1G14410.1	2	2	1	3	2	3	3	4
AT1G14510.1	0	0	1	1	0	0	1	1
AT1G14610.1	0	2	2	0	2	0	2	2
AT1G14710.1	5	5	4	9	6	5	7	10
AT1G14790.1	2	2	2	2	2	2	1	3
AT1G14810.1	0	0	2	1	0	3	2	0
AT1G14830.1	4	6	7	7	7	5	6	7
AT1G14840.1	0	1	1	0	1	1	1	2
AT1G14850.1	0	0	0	0	1	2	0	2
AT1G15130.1	0	0	0	0	0	1	0	0
AT1G15140.1	0	0	1	0	0	0	0	0
AT1G15690.1	9	8	3	4	5	4	7	8
AT1G15710.1	0	1	1	2	0	2	0	3
AT1G15750.1	0	2	0	0	0	0	0	0
AT1G15820.1	7	12	11	12	6	9	13	13
AT1G15930.2	5	7	3	5	5	5	3	4
AT1G16460.2	1	2	1	2	0	3	1	2
AT1G17040.2	1	0	0	0	0	0	0	0
AT1G17100.1	0	0	0	0	1	0	0	1
AT1G17220.1	0	0	0	0	0	0	1	0
AT1G17370.1	4	4	6	5	4	4	6	6
AT1G17580.1	0	1	0	1	1	1	3	2
AT1G17745.2	1	2	3	2	0	0	3	2
AT1G17840.1	0	0	1	0	0	0	0	1
AT1G17880.1	0	0	0	0	0	2	0	0
AT1G18070.3	0	0	1	0	0	1	1	0
AT1G18080.1	9	6	3	5	2	8	3	6
AT1G18150.2	0	0	1	0	0	0	0	0
AT1G18210.1	1	3	3	2	1	2	3	4
AT1G18250.2	1	1	1	0	1	1	2	2
AT1G18450.1	5	4	3	3	4	3	3	3
AT1G18500.1	1	0	1	0	0	0	2	3
AT1G18540.1	13	14	13	9	12	11	11	13
AT1G18660.4	0	0	1	0	0	0	0	0
AT1G19550.1	3	2	2	0	1	2	1	2
AT1G19870.1	0	1	1	1	1	1	1	1
AT1G19920.1	1	0	1	0	0	0	0	0
AT1G20010.1	45	56	30	35	41	42	45	42
AT1G20020.1	1	0	0	0	0	0	2	0
AT1G20110.1	0	0	0	1	0	0	0	0
AT1G20130.1	4	5	4	5	5	4	5	8
AT1G20200.1	4	2	3	3	3	3	3	3
AT1G20220.1	1	1	0	1	1	1	0	2
AT1G20260.1	7	9	7	7	3	5	9	8
AT1G20270.1	0	0	0	1	0	0	0	0
AT1G20330.1	0	0	1	0	0	0	1	0
AT1G20340.1	2	2	3	2	1	3	2	0
AT1G20450.1	0	1	0	0	0	0	0	0
AT1G20510.1	0	0	0	0	1	0	0	0
AT1G20620.1	28	22	23	19	25	27	24	20
AT1G20630.1	7	7	5	9	7	5	9	6
AT1G20693.1	4	4	3	2	4	3	1	3
AT1G20760.1	1	1	0	1	1	1	0	1
AT1G20950.1	0	3	0	2	0	1	0	3
AT1G20960.1	2	4	1	1	1	0	3	1
AT1G21440.1	0	1	0	0	0	0	0	0
AT1G21500.1	0	0	1	0	2	0	0	0
AT1G21540.1	0	0	0	0	0	0	1	0
AT1G21600.1	0	1	0	0	0	0	0	0
AT1G21630.2	1	1	0	0	1	1	1	0
AT1G21750.1	2	3	1	1	0	2	2	0
AT1G22020.1	0	0	0	0	0	0	0	1
AT1G22300.1	3	1	1	3	0	1	1	3
AT1G22410.1	5	3	3	5	5	4	4	4
AT1G22760.1	5	1	3	1	2	3	5	3
AT1G22780.1-AT1G34030.1-AT4G09800.1	13	17	13	14	19	16	17	16
AT1G23190.1	0	1	0	0	0	1	0	1
AT1G23230.1	1	1	1	0	0	0	1	1
AT1G23240.1	0	0	0	1	0	0	0	0
AT1G23310.1	9	10	7	9	8	8	7	6
AT1G23900.1	4	2	1	2	2	1	0	1
AT1G24020.1	16	23	18	21	10	14	22	17
AT1G24180.1	2	1	1	0	3	2	2	3
AT1G24260.2	0	0	0	0	0	0	1	0
AT1G24300.1	5	3	4	3	6	3	3	8
AT1G24360.1	3	1	1	1	2	0	0	2
AT1G24510.1	9	9	8	9	7	5	8	5
AT1G25490.1	6	2	3	2	3	5	7	4
AT1G26110.1	6	2	5	4	31	35	21	27
AT1G26460.1	4	3	2	2	4	3	6	3
AT1G26550.1	2	1	1	2	2	1	1	0
AT1G26630.1	8	10	7	9	12	11	14	11
AT1G26850.1	0	1	1	0	0	0	0	0
AT1G26880.1	3	4	3	3	3	3	4	3
AT1G27090.1	1	2	2	2	12	7	8	6
AT1G27310.1	0	0	0	0	0	0	1	0
AT1G27400.1	4	3	3	0	6	4	5	3
AT1G27430.1	6	5	6	3	9	6	5	14
AT1G27650.1	0	0	0	0	0	1	1	0
AT1G27750.1	0	0	0	0	0	0	1	0
