accession	F016864_2014_S17_control_C1	F016865_2014_S17_control_C2	F016867_2014_S17_URT1_H1	F016878_2014_S25_control_C5	F016880_2014_S25_URT1_H5	F016882_2015_S12_CTRL_1	F016883_2015_S12_CTRL_2	F016884_2015_S12_CTRL_3	F016886_2015_S12_URT1_myc2	F016887_2015_S12_URT1_myc3
AT1G01080.2	0	0	2	0	0	0	0	0	0	0
AT1G01170.1	0	0	0	0	0	2	1	0	0	0
AT1G01300.1	1	0	0	0	0	0	0	6	10	3
AT1G01320.1	3	3	2	0	0	0	0	0	0	0
AT1G01510.1	2	4	0	0	0	0	2	0	0	0
AT1G01620.1	0	5	1	0	0	4	8	10	14	8
AT1G01820.1	0	0	0	0	0	0	3	0	0	0
AT1G02280.1	3	0	2	0	0	1	0	0	0	0
AT1G02500.1	0	0	0	0	0	0	2	0	0	0
AT1G02840.1	0	2	0	0	0	0	1	0	0	0
AT1G03130.1	0	0	0	0	0	0	2	0	0	0
AT1G03910.2	0	0	0	0	0	0	1	0	0	0
AT1G04270.1	1	0	1	0	0	0	0	0	0	2
AT1G04480.1-AT2G33370.1-AT3G04400.1	0	1	0	0	0	0	0	0	0	0
AT1G04750.1	0	0	0	0	0	0	4	3	0	0
AT1G04820.1-AT1G50010.1	0	0	0	0	0	6	5	4	5	7
AT1G05190.1	2	2	5	0	0	0	0	0	0	0
AT1G06190.1	0	0	0	0	1	0	0	0	0	0
AT1G06220.2	0	0	0	0	0	0	1	0	0	1
AT1G06900.1	0	0	0	0	0	0	0	6	0	0
AT1G07320.1	1	2	3	0	0	0	0	0	0	0
AT1G07360.1	0	0	0	0	0	0	0	0	0	1
AT1G07660.1-AT1G07820.1-AT2G28740.1-AT3G45930....	1	0	0	0	0	0	6	0	2	0
AT1G07790.1	0	0	0	0	0	1	9	5	4	0
AT1G07920.1-AT1G07930.1-AT1G07940.1-AT5G60390....	4	7	8	0	4	4	26	27	27	32
AT1G08730.1	0	0	0	0	0	0	0	0	4	4
AT1G08880.1	0	0	0	0	0	0	1	0	2	2
AT1G09340.1	0	0	0	0	3	0	0	0	0	0
AT1G09760.1	0	0	0	0	0	0	2	0	0	0
AT1G10290.1	4	0	0	0	0	3	9	10	9	1
AT1G10630.1	0	1	0	0	0	0	0	0	0	0
AT1G10840.1	2	0	0	0	0	0	0	0	0	0
AT1G10870.1	0	0	0	0	0	0	1	0	0	0
AT1G11410.1	0	0	0	0	0	0	2	0	0	0
AT1G12310.1	0	0	1	0	0	0	2	0	4	4
AT1G12830.1	0	0	0	0	0	2	0	3	4	5
AT1G12840.1	0	0	0	0	0	14	76	65	0	0
AT1G12900.1	5	5	8	0	6	0	2	0	4	3
AT1G13020.1	0	0	0	0	1	0	0	0	0	0
AT1G13270.1	0	0	0	0	1	0	2	3	3	0
AT1G13690.1	0	0	0	0	0	0	0	0	0	1
AT1G14320.1	0	1	0	0	0	0	1	0	0	0
AT1G14410.1	0	2	0	0	0	0	0	0	0	0
AT1G14610.1	0	0	0	0	0	2	13	23	3	9
AT1G14830.1	0	0	0	0	0	0	4	2	0	0
AT1G15690.1	0	0	0	0	0	101	123	110	0	2
AT1G15780.1	0	0	0	0	0	0	2	0	0	0
AT1G15820.1	0	0	4	0	0	3	4	10	0	0
AT1G16010.2	0	0	0	0	0	0	3	0	0	0
AT1G16020.1	0	3	0	0	0	0	0	0	0	0
AT1G16030.1	0	6	3	0	0	3	13	12	20	17
AT1G16720.1	0	0	1	0	0	0	0	0	0	0
AT1G16810.1	0	0	0	0	0	1	2	0	0	0
AT1G18040.1	0	0	0	0	0	0	2	0	0	0
AT1G18210.1	0	0	0	0	0	0	5	0	0	0
AT1G18540.1	0	2	2	0	0	0	2	0	3	2
AT1G19360.1	0	0	0	0	0	0	1	0	0	0
AT1G19880.1	0	0	0	0	0	1	0	5	19	6
AT1G19910.1	0	0	0	0	0	0	6	0	0	0
AT1G20010.1	0	1	3	0	0	3	6	2	11	8
AT1G20020.1	0	9	13	0	0	0	4	5	0	2
AT1G20050.1	0	0	0	0	0	0	4	0	0	0
AT1G20130.1	0	0	0	0	0	0	4	5	1	0
AT1G20220.1	2	0	0	0	2	0	0	0	1	2
AT1G20260.1	0	0	0	0	0	71	258	246	3	0
AT1G20440.1	9	5	7	1	0	0	0	2	0	0
AT1G20450.1	9	8	3	1	0	0	0	0	0	0
AT1G20620.1	0	4	0	0	0	4	9	4	0	0
AT1G20693.1	0	0	0	0	0	3	2	0	4	4
AT1G20920.1	0	0	0	0	0	0	0	0	11	0
AT1G20960.1	0	0	0	0	0	0	2	0	0	0
AT1G22060.1	4	0	0	0	0	0	26	24	0	0
AT1G22780.1-AT1G34030.1-AT4G09800.1	2	1	0	0	0	2	1	0	4	4
AT1G23230.1	0	0	0	0	0	0	2	0	0	0
AT1G23410.1	0	0	0	0	3	10	6	19	19	16
AT1G23860.1	0	0	0	0	0	0	0	0	3	0
AT1G24020.1	0	0	0	0	0	2	2	0	0	0
AT1G26110.1	0	0	0	0	5	0	0	0	4	16
AT1G26630.1	0	0	0	0	2	0	1	1	1	2
AT1G26850.1	0	0	0	0	0	0	6	7	0	0
AT1G26880.1	0	0	1	0	0	0	0	0	0	0
AT1G27090.1	0	0	4	0	1	0	5	3	9	18
AT1G27400.1	0	0	0	0	0	0	2	0	0	0
AT1G28060.1	0	0	0	0	0	0	3	0	5	2
AT1G28340.1	0	0	0	0	0	0	2	0	0	0
AT1G29250.1	0	0	0	0	0	0	5	3	15	16
AT1G29910.1-AT1G29920.1	4	6	5	0	7	6	9	21	1	4
AT1G29990.1	0	0	0	0	0	0	5	0	0	0
AT1G30360.1	0	0	0	0	0	1	16	12	0	0
AT1G30400.1	0	0	0	0	0	1	10	6	0	0
AT1G30460.1	0	0	0	0	0	0	0	0	1	0
AT1G31070.2	0	0	0	0	0	0	6	6	0	0
AT1G31330.1	4	5	5	7	28	0	0	0	0	0
AT1G31850.1	0	0	0	0	0	0	2	2	0	0
AT1G31970.1	0	0	0	0	0	0	1	0	4	0
AT1G32790.2	0	0	0	0	0	0	0	0	0	2
AT1G32990.1	1	0	3	0	0	0	0	0	0	0
AT1G33170.1	0	0	0	0	0	0	7	9	0	0
AT1G33680.1	0	0	0	0	0	0	1	0	3	6
AT1G35680.1	0	0	3	0	0	0	0	0	0	0
AT1G42970.1	6	6	5	0	1	0	2	0	3	3
AT1G43170.1	0	0	0	0	0	0	2	0	0	0
AT1G44575.1	0	0	2	0	0	0	0	0	0	0
AT1G44910.1	0	0	0	0	0	0	1	0	0	0
AT1G47200.1	0	0	0	0	0	0	2	4	0	0
AT1G47550.2	0	0	0	0	0	2	5	12	12	10
AT1G48130.1	0	2	0	0	0	0	0	0	0	0
AT1G48350.1	2	0	2	0	0	0	0	0	0	0
AT1G48410.2	0	0	0	0	0	0	3	3	4	5
AT1G48480.1	0	0	0	0	0	0	5	2	0	0
AT1G48760.1	0	0	0	0	1	0	0	0	1	0
AT1G48920.1	4	2	3	0	0	19	21	27	37	37
AT1G49760.1	0	0	1	0	0	0	0	0	4	2
AT1G52000.1	0	0	0	0	0	4	20	10	0	0
AT1G52030.2	0	0	0	0	0	36	198	149	0	1
AT1G52040.1	0	0	0	0	0	26	122	90	0	0
AT1G52400.1	0	0	0	0	0	126	252	197	16	13
AT1G52570.1	0	0	1	0	0	3	41	8	128	8
AT1G53070.1	0	0	0	0	0	0	3	0	22	0
AT1G53210.1	0	0	0	0	0	11	22	19	0	0
AT1G54000.1	0	0	0	0	0	4	26	12	0	0
AT1G54010.1	0	0	0	0	0	5	41	25	0	0
AT1G54020.2	0	0	0	0	0	12	42	32	0	0
AT1G54030.1	0	0	0	0	0	0	2	0	0	0
AT1G54270.1	3	2	3	0	0	1	3	9	5	8
AT1G54410.1	2	5	5	0	0	3	6	14	9	5
AT1G55080.1	0	1	0	0	0	0	0	0	0	0
AT1G55160.3	0	0	0	0	0	1	3	3	0	0
AT1G55210.1	0	0	0	0	0	0	1	0	0	0
AT1G55325.2	0	0	0	0	0	0	4	0	0	0
AT1G55490.1	0	0	4	0	0	0	0	0	4	3
AT1G56070.1	0	0	0	0	0	0	2	3	2	6
AT1G56110.1	0	0	0	0	0	3	18	11	23	17
AT1G56190.1	0	0	1	0	0	0	0	0	0	0
AT1G56410.1	2	11	12	0	1	9	26	25	31	36
AT1G58270.1	0	0	0	0	0	0	4	0	0	0
AT1G58380.1	0	0	0	0	0	0	2	0	0	2
AT1G59610.1	5	0	0	0	0	1	4	8	9	3
AT1G60160.1	0	0	0	0	0	0	2	0	0	0
AT1G61520.1	0	0	2	0	0	0	1	0	0	0
AT1G61790.1	0	0	0	0	0	0	0	1	0	0
AT1G62020.1	0	1	0	0	0	0	0	0	0	0
AT1G62820.1	0	0	0	0	0	0	2	0	0	0
AT1G64330.1	0	14	2	0	0	1	9	11	9	6
AT1G65290.1	0	0	0	0	0	0	1	0	0	0
AT1G66070.1	2	4	0	0	0	13	28	25	0	0
AT1G66410.2	0	0	0	0	0	0	2	0	0	0
AT1G66580.1	0	1	0	0	0	0	1	0	0	0
AT1G67090.1	1	0	6	0	1	2	0	0	0	0
AT1G67700.2	0	0	0	0	1	0	0	0	0	0
AT1G67730.1	0	0	0	0	0	1	1	0	0	0
AT1G68560.1	0	0	0	0	0	0	5	6	0	1
AT1G69840.1	0	0	0	0	0	0	2	3	0	0
AT1G70710.1	0	0	0	0	0	1	4	4	4	4
AT1G71695.1	0	0	0	0	0	0	9	6	6	2
AT1G72150.1	0	0	2	0	0	0	0	0	0	0
AT1G72370.1	1	2	4	0	0	0	0	3	1	3
AT1G72730.1	3	2	3	0	0	1	3	9	5	8
AT1G73650.3	0	0	0	0	0	0	2	0	0	0
AT1G73960.1	0	0	0	0	0	0	0	0	10	3
AT1G74050.1	0	2	3	0	0	0	2	0	3	2
AT1G75350.1	0	1	2	0	0	0	0	0	0	0
AT1G75660.1	0	0	0	0	0	0	0	0	3	0
AT1G75680.1	0	0	0	0	0	0	8	5	0	0
AT1G75780.1	0	1	2	0	0	3	6	3	13	10
AT1G75910.1	0	0	0	0	0	4	14	13	18	10
AT1G75930.1	0	0	0	0	0	0	1	4	0	0
AT1G75940.1	0	0	0	0	0	4	0	5	7	5
AT1G76010.1	0	0	3	0	0	2	5	4	4	3
AT1G76180.1	33	35	21	10	2	0	0	3	0	3
AT1G78900.1	0	0	0	0	0	85	295	251	3	6
AT1G78920.1	0	0	0	0	0	0	1	0	0	0
AT1G79200.1	0	0	0	0	0	0	0	0	4	0
AT1G79530.1	0	0	0	0	0	1	0	1	2	0
AT1G79850.1	0	0	0	0	1	0	0	0	0	0
